flight
united
usairways
americanair
southwestair
jetblue
get
n't
's
http
hour
thanks
cancelled
...
service
help
customer
time
u
call
bag
plane
wait
go
amp
need
hold
fly
'm
make
2
thank
would
still
one
gate
day
please
back
ca
delayed
try
airline
take
virginamerica
flightled
say
seat
've
delay
''
``
like
change
phone
bad
agent
late
today
guy
know
ticket
miss
work
airport
book
could
minute
way
give
great
3
check
well
never
even
min
lose
see
really
want
home
travel
hr
're
4
tomorrow
weather
last
dm
good
another
people
use
love
issue
email
new
told
first
let
sit
'll
look
much
yes
luggage
ever
number
due
someone
next
trip
baggage
flighted
crew
two
reservation
tell
passenger
experience
come
response
line
follow
week
answer
right
online
jfk
aa
”
sent
best
pay
staff
“
keep
connection
already
1
long
sure
boarding
leave
wo
morning
problem
since
update
find
tonight
5
land
refund
put
left
website
think
flightr
stuck
appreciate
board
care
show
mile
night
info
us
year
ask
'd
hope
flt
yet
anything
fleek
hotel
system
fleet
booking
nothing
problems
talk
voucher
rebooked
attendant
class
dfw
rude
air
nice
free
’
fix
rebook
finally
fail
ago
arrive
able
pilot
connect
charge
business
also
point
credit
rep
checked
upgrade
add
thing
start
wifi
fee
happen
option
always
via
offer
team
send
every
awesome
anyone
person
30
speak
6
frustrate
employee
do
yesterday
lax
receive
understand
contact
delta
status
suck
tweet
gt
southwest
thx
open
terrible
name
app
claim
ok
mean
20
10
without
1st
sfo
friend
helpful
instead
dca
suppose
kid
earlier
sorry
stop
disappointed
happy
money
departure
extra
phl
ridiculous
many
something
though
almost
full
oh
hung
return
direct
schedule
seem
available
reason
ord
site
card
ground
early
snow
unacceptable
member
move
hi
respond
rt
message
least
chicago
horrible
wife
paid
family
pas
ewr
everyone
deal
clt
old
policy
poor
company
seriously
twitter
cause
question
month
chance
san
dallas
amaze
cost
plan
big
denver
strand
end
food
w/
ur
destinationdragons
run
allow
little
actually
past
expect
found
boston
7
reschedule
different
reply
job
tarmac
desk
maybe
link
american
bos
--
far
45
8
provide
wrong
away
hang
airways
account
hey
might
enough
switch
row
vegas
feel
request
treat
complaint
stay
worst
twice
lot
phx
may
guess
confirmation
three
destination
car
soon
50
40
believe
charlotte
around
city
less
bring
iad
runway
handle
confirm
possible
vacation
nyc
place
bc
price
broken
w
together
hard
cool
else
load
computer
plus
longer
terminal
real
second
reach
sat
process
disconnect
im
thought
swa
hear
200
newark
carry
half
idea
easy
15
error
houston
share
mechanical
drive
room
high
thru
awful
resolve
lie
sleep
ua
international
group
monday
watch
deliver
cust
apology
pls
figure
drop
lol
assistance
flyer
philly
na
purchase
mess
jet
la
date
tv
joke
lack
award
25
forward
depart
fll
fare
standby
busy
heard
waste
miami
leg
turn
counting
human
head
dc
close
rock
address
club
reflight
iah
list
maintenance
word
glad
1/2
child
everything
trying
lga
traveler
explain
24
quick
spent
2nd
airlines
y'all
flew
supervisor
pick
blue
super
information
lt
refuse
fuck
usair
unitedairlines
correct
800
tsa
worry
case
live
companion
cant
loyal
wtf
situation
rather
file
sunday
9
storm
entire
detail
report
currently
hate
okay
luv
life
empty
atl
ceo
yeah
screw
part
route
world
imaginedragons
counter
original
sell
ruin
communication
support
whole
learn
12
husband
hopefully
must
